Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
299577,"The Economics of Money, Banking, and Financial Markets (Addison-Wesley Series in Economics)",Frederic S. Mishkin,"Mishkin, Frederic S.",,"=""0321331850""","=""9780321331854""",0,4.01,Addison Wesley,Hardcover,768,2006,1986,,2026/01/07,to-read,to-read (#477),to-read,,,,0,0
56863052,Central Banking 101,Joseph J. Wang,"Wang, Joseph J.",,"=""0999136755""","=""9780999136751""",0,4.39,,Kindle Edition,227,2021,,,2026/01/07,to-read,to-read (#476),to-read,,,,0,0
501415,On the Marble Cliffs,Ernst Jünger,"Jünger, Ernst","Stuart Hood, George Steiner","=""0140029850""","=""9780140029857""",0,3.79,Penguin Books,Paperback,128,1984,1939,,2026/01/05,to-read,to-read (#475),to-read,,,,0,0
966769,"Market Wizards: Interviews with Top Traders (Market Wizards, #1)",Jack D. Schwager,"Schwager, Jack D.",,"=""0887306101""","=""9780887306105""",0,4.28,Harperbusiness,Paperback,480,1993,1989,,2026/01/03,to-read,to-read (#474),to-read,,,,0,0
7858037,History of the Rise and Influence of the Spirit of Rationalism in Europe,William Edward Hartpole Lecky,"Lecky, William Edward Hartpole",,"=""1116657244""","=""9781116657241""",0,4.50,BiblioLife,Hardcover,446,2009,1865,,2023/07/04,to-read,to-read (#316),to-read,,,,0,0
440056,"Journal I, 1945-1955",Mircea Eliade,"Eliade, Mircea",Mac Linscott Ricketts,"=""0226204162""","=""9780226204161""",0,4.24,University of Chicago Press,Hardcover,227,1990,1990,,2025/10/27,to-read,to-read (#473),to-read,,,,0,0
1848,Wild Swans: Three Daughters of China,Jung Chang,"Chang, Jung",,"=""""","=""""",0,4.30,Simon & Schuster,Paperback,562,2003,1991,,2025/10/27,to-read,to-read (#472),to-read,,,,0,0
25898468,The Demon in Democracy: Totalitarian Temptations in Free Societies,Ryszard Legutko,"Legutko, Ryszard",,"=""1594038635""","=""9781594038631""",0,3.86,Encounter Books,Hardcover,200,2016,2012,,2025/10/26,to-read,to-read (#471),to-read,,,,0,0
920156,A History of Interest Rates (Wiley Finance),Sidney Homer,"Homer, Sidney",Richard Sylla,"=""0471732834""","=""9780471732839""",0,4.14,Wiley,Hardcover,736,2005,1977,,2025/10/26,to-read,to-read (#470),to-read,,,,0,0
1058107,"The Explanation of Ideology: Family Structure and Social Systems (Family, Sexuality and Social Relations in Past Times)",Emmanuel Todd,"Todd, Emmanuel",David Garrioch,"=""0631154914""","=""9780631154914""",0,4.11,Blackwell Pub,Paperback,,1989,1985,,2025/10/07,to-read,to-read (#469),to-read,,,,0,0
195644131,Men and Marriage,George Gilder,"Gilder, George",,"=""""","=""""",0,4.22,Canon Press,ebook,,2023,1986,,2025/10/05,to-read,to-read (#468),to-read,,,,0,0
253984,"A Time of Gifts (Trilogy, #1)",Patrick Leigh Fermor,"Fermor, Patrick Leigh",Jan Morris,"=""1590171659""","=""9781590171653""",0,4.03,NYRB Classics,Paperback,321,2005,1977,,2025/10/04,to-read,to-read (#467),to-read,,,,0,0
50798,Jude the Obscure,Thomas Hardy,"Hardy, Thomas","Patricia Ingham, Dennis Taylor, Jenny Sterlin, Mark Oxford, James Oliver Smith Jr.","=""0486452433""","=""9780486452432""",0,3.84,Dover Publications,Paperback,310,2006,1895,,2025/10/04,to-read,to-read (#466),to-read,,,,0,0
104263,Story of My Life: The Autobiography of George Sand (Women Writers in Translation),George Sand,"Sand, George","Walter D. Gray, Thelma Jurgrau","=""0791405818""","=""9780791405819""",0,3.94,State University of New York Press,Paperback,1184,1991,1854,,2025/10/04,to-read,to-read (#465),to-read,,,,0,0
214876579,"An Introduction to Psychometrics and Psychological Assessment: Using, Interpreting and Developing Tests",Colin Cooper,"Cooper, Colin",,"=""100086894X""","=""9781000868944""",0,0.0,Routledge,Kindle Edition,0,2023,,,2025/09/27,to-read,to-read (#464),to-read,,,,0,0
42036,Tales From Shakespeare,Charles Lamb,"Lamb, Charles","Mary Lamb, Arthur Rackham","=""0140621598""","=""9780140621594""",0,3.93,Penguin Books,Paperback,288,2007,1798,,2025/09/15,to-read,to-read (#463),to-read,,,,0,0
770926,Empire of Signs,Roland Barthes,"Barthes, Roland",Richard Howard,"=""0374522073""","=""9780374522070""",0,3.83,Hill and Wang,Paperback,128,1983,1970,,2025/09/14,to-read,to-read (#462),to-read,,,,0,0
625094,The Leopard,Giuseppe Tomasi di Lampedusa,"Lampedusa, Giuseppe Tomasi di",Archibald Colquhoun,"=""0679731210""","=""9780679731214""",0,4.01,Pantheon,Paperback,319,1991,1958,,2025/08/30,to-read,to-read (#461),to-read,,,,0,0
7690321,Addresses to the German Nation,Johann Gottlieb Fichte,"Fichte, Johann Gottlieb",Gregory Moore,"=""0521448735""","=""9780521448734""",0,3.21,Cambridge University Press,Paperback,254,2009,1808,,2025/07/28,to-read,to-read (#460),to-read,,,,0,0
866000,The Vocation of Man,Johann Gottlieb Fichte,"Fichte, Johann Gottlieb",Peter Preuss,"=""087220037X""","=""9780872200371""",0,3.49,"Hackett Publishing Company, Inc.",Paperback,144,1987,1800,,2025/07/28,to-read,to-read (#459),to-read,,,,0,0
26302936,The South Vindicated from the Treason and Fanaticism of the Northern Abolitionists,William Drayton,"Drayton, William",,"=""1331490960""","=""9781331490968""",0,0.0,Forgotten Books,Paperback,326,2024,2015,,2025/07/22,to-read,to-read (#458),to-read,,,,0,0
642253,Kuhaku & Other Accounts from Japan,Bruce Rutledge,"Rutledge, Bruce","Craig Mod, Kozyndan","=""0974199508""","=""9780974199504""",0,3.96,Chin Music Press Inc.,Hardcover,224,2005,2004,,2025/06/22,to-read,to-read (#457),to-read,,,,0,0
12527,Pilgrim at Tinker Creek,Annie Dillard,"Dillard, Annie",,"=""0072434171""","=""9780072434170""",0,4.08,McGraw-Hill College,Paperback,288,2000,1974,,2025/06/22,to-read,to-read (#456),to-read,,,,0,0
12991188,Train Dreams,Denis Johnson,"Johnson, Denis",,"=""1250007658""","=""9781250007650""",0,3.89,Picador Paper,Paperback,116,2012,2002,,2025/06/22,to-read,to-read (#455),to-read,,,,0,0
124833,The Pearl Harbor Myth: Rethinking the Unthinkable,George Victor,"Victor, George",,"=""1597970425""","=""9781597970426""",0,3.67,Potomac Books,Hardcover,370,2007,2006,,2025/06/19,to-read,to-read (#454),to-read,,,,0,0
10353069,Demystifying Pearl Harbor: A New Perspective from Japan,Iguchi Takeo,"Takeo, Iguchi",David Noble,"=""4924971294""","=""9784924971295""",0,4.67,International House of Japan,Hardcover,343,2010,2010,,2025/06/19,to-read,to-read (#453),to-read,,,,0,0
5393037,Fast Times at Fairmont High,Vernor Vinge,"Vinge, Vernor",,"=""""","=""""",0,3.66,Fictionwise,Kindle Edition,62,2002,2001,,2024/12/18,,,read,,,,1,0
184565,What's Wrong with the World,G.K. Chesterton,"Chesterton, G.K.",,"=""0486454274""","=""9780486454276""",0,4.04,Dover Publications,Paperback,224,2007,1910,,2025/06/19,to-read,to-read (#452),to-read,,,,0,0
319047,Zen-Man Ikkyu,James H. Sanford,"Sanford, James H.",,"=""0891304991""","=""9780891304999""",0,5.00,UNKNO,Hardcover,321,1981,1981,,2025/06/19,to-read,to-read (#451),to-read,,,,0,0
16158559,Undisputed Truth,Mike Tyson,"Tyson, Mike",Larry Sloman,"=""0399161287""","=""9780399161285""",5,4.17,Blue Rider Press,Hardcover,592,2013,2013,,2025/06/18,,,read,,,,1,0
24723229,"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government",David Talbot,"Talbot, David",,"=""0062276166""","=""9780062276162""",0,4.35,Harper,Hardcover,704,2015,2015,,2025/06/15,to-read,to-read (#450),to-read,,,,0,0
163949236,"The Tragedy of Europe: a Day-By-Day Commentary on the Second World War, Complete in 5 Vols.",Francis Neilson,"Neilson, Francis",,"=""""","=""""",0,0.0,Cobden Press,Hardcover,0,1986,,,2025/06/04,to-read,to-read (#449),to-read,,,,0,0
24100,The Golden Notebook,Doris Lessing,"Lessing, Doris",,"=""006093140X""","=""9780060931407""",0,3.77,Harper Perennial Modern Classics,Paperback,640,1999,1962,,2025/05/29,to-read,to-read (#448),to-read,,,,0,0
34448400,Notorious: The Life and Fights of Conor McGregor,Jack Slack,"Slack, Jack",Conor McGregor,"=""1786064065""","=""9781786064066""",0,3.74,John Blake,Paperback,288,2017,,2025/05/28,2025/05/18,,,read,,,,1,0
25974735,"Finding the Art: Essays on the Principles, Tactics and Techniques Which Govern Combat Sports",Jack Slack,"Slack, Jack",,"=""""","=""""",0,4.37,,Kindle Edition,57,2015,2015,,2025/05/18,to-read,to-read (#447),to-read,,,,0,0
25400291,"Elementary Striking - Strategies for Boxing, Kickboxing and MMA",Jack Slack,"Slack, Jack",,"=""""","=""""",0,4.11,,ebook,,2012,2012,,2025/05/18,to-read,to-read (#446),to-read,,,,0,0
23028082,Music in the Galant Style,Robert O Gjerdingen,"Gjerdingen, Robert O",,"=""0199718369""","=""9780199718368""",0,0.0,"Oxford University Press, USA",ebook,527,2007,2014,,2025/03/09,to-read,to-read (#445),to-read,,,,0,0
49046502,Child Composers in the Old Conservatories: How Orphans Became Elite Musicians,Robert O Gjerdingen,"Gjerdingen, Robert O",,"=""0190653590""","=""9780190653590""",0,4.50,Oxford University Press,Hardcover,364,2020,,,2025/03/09,to-read,to-read (#444),to-read,,,,0,0
48328,Revolutionary Road,Richard Yates,"Yates, Richard",,"=""""","=""""",0,3.93,Methuen,Paperback,355,2001,1961,,2025/02/27,to-read,to-read (#443),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",3,4.14,Faber & Faber,Paperback,258,2005,1989,,2025/01/28,,,read,,,,1,0
747417,The Man Who Would Be Queen: The Science of Gender-Bending and Transsexualism,J. Michael Bailey,"Bailey, J. Michael",,"=""0309084180""","=""9780309084185""",0,3.28,Joseph Henry Press,Hardcover,249,2003,2003,,2025/02/19,to-read,to-read (#442),to-read,,,,0,0
48573989,Reaping and Sowing (Récoltes et semailles) The Life of a Mathematician: Reflections and Bearing Witness,Alexandre Grothendieck,"Grothendieck, Alexandre",,"=""""","=""""",0,4.11,,Unknown Binding,1000,1986,1986,,2025/02/14,to-read,to-read (#441),to-read,,,,0,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",0,4.33,Scribner,Paperback,288,2006,2005,,2025/02/02,to-read,to-read (#440),to-read,,,,0,0
193539945,"Unqualified Reservations, Vol. 01",Curtis Yarvin,"Yarvin, Curtis",Mencius Moldbug,"=""""","=""""",0,3.81,Passage Publishing,Hardcover,502,2023,2023,,2025/01/28,to-read,to-read (#439),to-read,,,,0,0
223991638,Gray Mirror: Fascicle I: Disturbance,Curtis Yarvin,"Yarvin, Curtis",,"=""1959403567""","=""9781959403562""",0,3.84,Passage Publishing,Kindle Edition,295,2025,,,2025/01/28,to-read,to-read (#438),to-read,,,,0,0
955045,Against the Odds: An Autobiography,James Dyson,"Dyson, James",,"=""1587990148""","=""9781587990144""",0,4.35,Texere,Paperback,,2000,1997,,2025/01/28,to-read,to-read (#437),to-read,,,,0,0
1837402,How To Get Rich,Felix Dennis,"Dennis, Felix",,"=""009192166X""","=""9780091921668""",0,4.18,Ebury Press,Paperback,277,2007,2006,,2025/01/28,to-read,to-read (#436),to-read,,,,0,0
1131696,The Left-Handed Woman,Peter Handke,"Handke, Peter",,"=""0374184976""","=""9780374184971""",0,3.21,Farrar Straus & Giroux,Paperback,87,1978,1976,,2025/01/24,to-read,to-read (#435),to-read,,,,0,0
24482,A Sorrow Beyond Dreams,Peter Handke,"Handke, Peter","Ralph Manheim, Jeffrey Eugenides","=""1590170199""","=""9781590170199""",0,3.74,New York Review of Books,Paperback,76,2002,1972,,2025/01/24,to-read,to-read (#434),to-read,,,,0,0
1444718,The Goalie's Anxiety at the Penalty Kick,Peter Handke,"Handke, Peter",Michael Roloff,"=""0374531064""","=""9780374531065""",0,3.16,Farrar Straus & Giroux,Paperback,133,2007,1970,,2025/01/24,to-read,to-read (#433),to-read,,,,0,0
6337163,Summertime (Scenes from Provincial Life #3),J.M. Coetzee,"Coetzee, J.M.",,"=""1846553180""","=""9781846553189""",0,3.78,Harvill Secker,Hardcover,266,2009,2009,,2025/01/24,to-read,to-read (#432),to-read,,,,0,0
6198,Boyhood (Scenes from Provincial Life #1),J.M. Coetzee,"Coetzee, J.M.",,"=""014026566X""","=""9780140265668""",0,3.77,Penguin Books,Paperback,166,1998,1997,,2025/01/24,to-read,to-read (#431),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",3,3.65,Hogarth,Hardcover,158,2016,2007,,2025/01/24,,,read,meh,,,1,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",1,4.28,HarperCollins,Paperback,293,1997,1988,,2024/12/24,,,read,,,,1,0
11897887,History Of Friedrich II Of Prussia Called Frederick The Great V1,Thomas Carlyle,"Carlyle, Thomas",,"=""0548137331""","=""9780548137338""",0,4.20,Kessinger Publishing,Hardcover,336,2007,1897,,2025/01/23,to-read,to-read (#430),to-read,,,,0,0
54609416,Tower,Bae Myung-hoon,"Myung-hoon, Bae",Sung Ryu,"=""1916277128""","=""9781916277120""",0,3.62,Honford Star,Paperback,253,2021,2009,,2025/01/13,to-read,to-read (#429),to-read,,,,0,0
42972023,"The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire",William Dalrymple,"Dalrymple, William",,"=""1635573955""","=""9781635573954""",0,4.20,Bloomsbury Publishing,Hardcover,544,2019,2019,,2025/01/07,to-read,to-read (#428),to-read,,,,0,0
123381858,The Collapse of Antiquity,Michael Hudson,"Hudson, Michael",,"=""3949546111""","=""9783949546112""",0,4.69,Islet,Hardcover,512,2023,,,2025/01/06,to-read,to-read (#427),to-read,,,,0,0
41183735,Two Arms and a Head: The Death of a Newly Paraplegic Philosopher,Clayton Atreus,"Atreus, Clayton",,"=""""","=""""",0,4.38,Self-Published,ebook,,2008,,,2024/12/26,to-read,to-read (#426),to-read,,,,0,0
28385,In the Shadow of Young Girls in Flower,Marcel Proust,"Proust, Marcel","Christopher Prendergast, James Grieve","=""0143039075""","=""9780143039075""",0,4.39,Penguin Classics,Paperback,533,2005,1919,2024/12/24,2022/04/29,,,read,,,,1,0
549384,"The Intellectual Life: Its Spirit, Conditions, Methods",Antonin Sertillanges,"Sertillanges, Antonin",,"=""0813206464""","=""9780813206462""",0,4.40,The Catholic University of America Press,Paperback,264,1992,1921,,2024/12/22,to-read,to-read (#425),to-read,,,,0,0
51710349,The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,"Henrich, Joseph",,"=""0374710457""","=""9780374710453""",0,4.13,"Farrar, Straus and Giroux",Kindle Edition,706,2020,2020,,2024/12/19,to-read,to-read (#424),to-read,,,,0,0
102439,Rainbows End,Vernor Vinge,"Vinge, Vernor",,"=""0812536363""","=""9780812536362""",0,3.77,Tor Science Fiction,Mass Market Paperback,381,2007,2006,,2024/12/18,to-read,to-read (#423),to-read,,,,0,0
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",0,4.13,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,2024/12/18,to-read,to-read (#422),to-read,,,,0,0
167841,Tatja Grimm's World,Vernor Vinge,"Vinge, Vernor",,"=""0765308851""","=""9780765308856""",0,3.32,Tor Books,Paperback,288,2006,1969,,2024/12/18,to-read,to-read (#421),to-read,,,,0,0
612650,A Child of the Century,Ben Hecht,"Hecht, Ben",Sidney Zion,"=""0917657411""","=""9780917657412""",0,4.25,Primus (Donald I. Fine) Plume,Paperback,654,1985,1954,,2024/12/14,to-read,to-read (#420),to-read,,,,0,0
132385214,A guide for the bedevilled,Ben Hecht,"Hecht, Ben",,"=""""","=""""",0,3.68,Garden City Publishing,Hardcover,276,1945,1999,,2024/12/14,to-read,to-read (#419),to-read,,,,0,0
117031,On War,Carl von Clausewitz,"Clausewitz, Carl von","Michael Eliot Howard, Peter Paret","=""0691018545""","=""9780691018546""",0,3.96,Princeton University Press,Paperback,732,1989,1832,,2024/12/14,to-read,to-read (#418),to-read,,,,0,0
34416648,District,Tony Duvert,"Duvert, Tony","S.C. Delaney, Agnes Potier","=""193966330X""","=""9781939663306""",0,3.59,Wakefield Press,Paperback,48,2017,1978,,2024/09/29,to-read,to-read (#417),to-read,,,,0,0
6374256,Olinger Stories,John Updike,"Updike, John",,"=""""","=""""",0,4.06,Vintage,Paperback,191,1964,1964,,2024/09/22,to-read,to-read (#416),to-read,,,,0,0
195917358,"The Rise and Fall of the EAST: How Exams, Autocracy, Stability, and Technology Brought China Success, and Why They Might Lead to Its Decline",Yasheng Huang,"Huang, Yasheng",,"=""0300274912""","=""9780300274912""",0,4.24,Yale University Press,Kindle Edition,411,2023,2023,,2023/12/03,to-read,to-read (#360),to-read,,,,0,0
56019043,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0593084640""","=""9780593084649""",0,4.14,Portfolio,Hardcover,382,2021,2021,,2022/01/17,to-read,to-read (#31),to-read,,,,0,0
761351,Family Ties,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0292724489""","=""9780292724488""",0,4.01,University of Texas Press,Paperback,160,1972,1960,,2024/06/26,to-read,to-read (#415),to-read,,,,0,0
63031,By Night in Chile,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""""","=""""",0,3.90,New Directions,Paperback,118,2011,2000,,2024/06/26,to-read,to-read (#414),to-read,,,,0,0
169354,"The Prize: The Epic Quest for Oil, Money, and Power",Daniel Yergin,"Yergin, Daniel",,"=""0671799320""","=""9780671799328""",0,4.44,Free Press,Paperback,928,1993,1991,,2024/06/26,to-read,to-read (#413),to-read,,,,0,0
146764531,The tragedy of Europe; a day by day commentary on the Second World War. Volume v.4 1946 [Leather Bound],Francis Neilson,"Neilson, Francis",,"=""""","=""""",0,0.0,Generic,Leather Bound,776,2022,,,2024/06/11,to-read,to-read (#412),to-read,,,,0,0
13481352,The Churchill Legend,Francis Neilson,"Neilson, Francis",,"=""""","=""""",0,4.67,,Unknown Binding,,1954,1954,,2024/06/11,to-read,to-read (#411),to-read,,,,0,0
2680741,The Curtain Rises,Quentin Reynolds,"Reynolds, Quentin",,"=""1125146540""","=""9781125146545""",0,2.92,Random House,Hardcover,353,1944,1944,,2024/06/10,to-read,to-read (#410),to-read,,,,0,0
425772,"Unholy Terror: Bosnia, Al-Qa'ida, and the Rise of Global Jihad",John R. Schindler,"Schindler, John R.",,"=""0760330034""","=""9780760330036""",0,4.15,Zenith Pr,Hardcover,368,2007,2007,,2024/06/10,to-read,to-read (#409),to-read,,,,0,0
24453976,Fall of the Double Eagle: The Battle for Galicia and the Demise of Austria-Hungary,John R. Schindler,"Schindler, John R.",,"=""1612347657""","=""9781612347653""",0,4.05,POTOMAC BOOKS,Hardcover,360,2015,2015,,2024/06/10,to-read,to-read (#408),to-read,,,,0,0
1871167,How Diplomats Make War,Francis Neilson,"Neilson, Francis",,"=""0930439066""","=""9780930439064""",0,3.96,Robert Schalkenbach Fndtn,Paperback,382,1984,1984,,2024/06/09,to-read,to-read (#407),to-read,,,,0,0
6357332,"The Politics of Hunger: The Allied Blockade of Germany, 1915-1919",C. Paul Vincent,"Vincent, C. Paul",,"=""0821408313""","=""9780821408315""",0,4.14,Ohio Univ Pr,Paperback,191,1986,1985,,2024/06/09,to-read,to-read (#406),to-read,,,,0,0
2858907,As We Go Marching: A Biting Indictment of the Coming of Domestic Fascism in America,John T. Flynn,"Flynn, John T.",,"=""0914156004""","=""9780914156000""",0,4.26,Free Life Editions,Paperback,272,1973,1944,,2024/06/08,to-read,to-read (#405),to-read,,,,0,0
920442,Public Opinion,Walter Lippmann,"Lippmann, Walter",,"=""0684833271""","=""9780684833279""",0,3.96,Free Press,Paperback,288,1997,1922,,2024/06/08,to-read,to-read (#404),to-read,,,,0,0
199249408,How to Make a Few Billion Dollars,Brad Jacobs,"Jacobs, Brad",,"=""""","=""9798886451740""",0,3.94,Greenleaf Book Group Press,Hardcover,272,2024,,,2024/06/07,to-read,to-read (#403),to-read,,,,0,0
781182,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",John Helyar,"=""0060536357""","=""9780060536350""",0,4.29,HarperBus,Paperback,592,2005,1989,,2024/06/07,to-read,to-read (#402),to-read,,,,0,0
22571602,"Days of Rage: America's Radical Underground, the FBI, and the Forgotten Age of Revolutionary Violence",Bryan Burrough,"Burrough, Bryan",,"=""1594204292""","=""9781594204296""",0,3.98,Penguin Press,Hardcover,608,2015,2015,,2024/06/07,to-read,to-read (#401),to-read,,,,0,0
7102619,The Making of Pennsylvania,Sydney George Fisher,"Fisher, Sydney George",,"=""1932109439""","=""9781932109436""",0,4.80,"Ross & Perry, Inc.",Paperback,388,2003,2003,,2024/05/26,to-read,to-read (#400),to-read,,,,0,0
57304201,The Quaker Colonies: History of the Early Quaker Settlements in New England and the Delaware River,Sydney George Fisher,"Fisher, Sydney George",,"=""1789870739""","=""9781789870732""",0,3.25,Pantianos Classics,Paperback,94,1919,,,2024/05/26,to-read,to-read (#399),to-read,,,,0,0
5113792,The Evolution of the Constitution of the,Sydney George Fisher,"Fisher, Sydney George",,"=""1886363080""","=""9781886363083""",0,4.67,"The Lawbook Exchange, Ltd.",Hardcover,398,1996,1996,,2024/05/26,to-read,to-read (#398),to-read,,,,0,0
20702781,"Men, Women & Manners in Colonial Times",Sydney George Fisher,"Fisher, Sydney George",Wayne LaPierre,"=""1629145025""","=""9781629145020""",0,2.50,Skyhorse,Paperback,400,2015,2008,,2024/05/26,to-read,to-read (#397),to-read,,,,0,0
123025953,Breaking Through: My Life in Science,Katalin Karikó,"Karikó, Katalin",,"=""0593443160""","=""9780593443163""",0,4.64,Crown,Hardcover,336,2023,2023,,2024/05/25,to-read,to-read (#396),to-read,,,,0,0
3746514,The History of the Colony of Massachusetts-Bay,Thomas   Hutchinson,"Hutchinson, Thomas",,"=""0405032897""","=""9780405032899""",0,4.00,Ayer Co Pub,Hardcover,3,,2010,,2024/05/25,to-read,to-read (#395),to-read,,,,0,0
32081669,"History of the War of the Independence of the United States of America, Vol. 1 (Classic Reprint)",Carlo Botta,"Botta, Carlo",,"=""1333618816""","=""9781333618810""",0,4.00,Forgotten Books,Paperback,466,2018,2013,,2024/05/24,to-read,to-read (#394),to-read,,,,0,0
13540713,The Suicide of Europe: Memoirs of Prince Michel Sturdza,Michael Sturdza,"Sturdza, Michael",,"=""""","=""""",0,3.89,Western Islands,Unknown Binding,,1976,1968,,2024/05/24,to-read,to-read (#393),to-read,,,,0,0
2839118,How we squandered the Reich,Reinhard Spitzy,"Spitzy, Reinhard",,"=""0859552330""","=""9780859552332""",0,3.25,Michael Russell Publishing Ltd,Hardcover,391,1997,1997,,2024/05/24,to-read,to-read (#392),to-read,,,,0,0
18526698,Is Administrative Law Unlawful?,Philip Hamburger,"Hamburger, Philip",,"=""022611659X""","=""9780226116594""",0,4.21,The University of Chicago Press,Hardcover,648,2014,2014,,2024/05/24,to-read,to-read (#391),to-read,,,,0,0
